Ns;Groupes;N;Ncir;Lcir;Ncal;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;LP1;NPiP1 ;W1Pi1;L1Pi1;LP2;NPiP2;W1Pi2;L1Pi2;LP3;NPiP3;W1Pi3;L1Pi3;LP4;NPiP4;W1Pi4;L1Pi4;LP5;NPiP5;W1Pi5;L1Pi5;LPmed;NPiPmed;W1Pimed;L1Pimed;LPdis;NPiPdis;W1Pidis;L1Pidis;Morphologie;Sygyzie 1;Sygyzie 2;Sygyzie 3
EWS-EM-Nv32;5;291_1_32;45,00;74,91;60,00;0,70;1,30;1,30;1,10;5,20;5,50;6,70;1,20;3,50;1,90;1,30;1,70;2,50;4,10;3,40;2,40;1,20;2,50;2,00;2,40;0,80;2,40;1,20;2,20;1,60;2,30;1,50;2,30;0,90;2,40;0,80;NA;NA;0,75;0,75;NA;NA;0,90;0,65;NA;NA;0,85;0,75;NA;NA;0,85;0,75;NA;NA;0,80;0,70;NA;NA;0,75;0,65;NA;NA;0,75;0,65;10;s8,9;s13,14;s17,18
EWS-EM-Nv33;5;291_1_33;57,00;79,52;55,00;0,70;1,60;1,40;1,10;7,20;8,50;8,30;1,90;5,40;2,20;1,70;2,10;4,60;6,00;4,30;4,10;1,30;4,00;3,00;3,80;1,05;3,60;1,30;3,60;2,00;3,70;1,90;3,50;1,70;3,70;1,50;NA;NA;1,30;1,25;NA;NA;1,30;1,15;NA;NA;1,25;1,05;NA;NA;1,40;1,05;NA;NA;1,40;1,15;NA;NA;1,45;1,05;NA;NA;1,30;0,85;9;s13,14;s17,18;s22,23
EWS-EM-Nv35;5;291_1_35;33,00;88,93;62,00;0,90;1,80;1,60;1,50;4,20;5,10;6,40;1,10;4,10;1,60;1,10;1,80;3,60;4,80;3,70;3,30;1,10;3,10;2,50;3,10;1,10;3,00;1,30;3,00;1,90;3,00;1,60;2,90;1,70;2,70;1,60;NA;NA;1,25;1,25;NA;NA;1,20;1,10;NA;NA;1,30;1,15;NA;NA;1,15;0,80;NA;NA;1,15;0,90;NA;NA;1,35;0,90;NA;NA;1,40;1,10;9;s14,15;s18,19;NA
EWS-EM-Nv36;5;291_1_36;41,00;73,99;59,00;0,90;1,70;1,50;1,50;5,20;6,10;6,00;1,40;4,40;1,90;1,10;2,20;4,20;4,90;4,50;3,10;1,20;3,30;2,80;3,40;1,10;3,10;1,30;3,10;2,60;3,30;1,50;3,20;1,80;3,20;1,60;NA;NA;1,45;1,15;NA;NA;1,15;1,15;NA;NA;1,15;1,10;NA;NA;1,20;1,15;NA;NA;1,25;0,85;NA;NA;NA;NA;NA;NA;NA;NA;9;s14,15;s18,19;NA
EWS-EM-Nv37;5;291_1_37;62,00;NA;NA;0,70;1,10;0,90;0,70;6,30;7,20;8,20;1,10;4,60;2,20;1,40;2,00;4,20;5,30;3,50;3,70;1,60;3,80;3,00;3,90;1,20;3,40;1,30;3,60;2,30;3,60;2,60;3,60;1,90;3,40;2,00;NA;NA;1,25;1,25;NA;NA;1,05;1,20;NA;NA;1,30;1,20;NA;NA;1,50;1,10;NA;NA;1,10;1,20;NA;NA;NA;NA;NA;NA;NA;NA;9;s13,14;NA;NA
EWS-EM-Nv38;5;291_1_38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,20;2,40;1,80;2,30;3,70;5,20;3,50;3,70;1,40;3,60;2,70;3,50;1,05;3,20;1,40;3,00;2,30;3,40;1,90;3,00;2,20;3,20;1,70;NA;NA;1,25;1,25;NA;NA;1,05;1,20;NA;NA;1,30;1,20;NA;NA;1,50;1,10;NA;NA;1,10;1,20;NA;NA;NA;NA;NA;NA;NA;NA;9;s10,11;NA;NA
EWS-EM-Nv39;5;291_1_39;45,00;NA;NA;0,50;0,90;0,80;0,60;7,00;7,90;7,90;2,00;4,00;2,00;1,20;1,90;3,70;5,00;3,90;3,60;1,40;3,50;2,80;3,50;1,40;3,40;1,30;3,20;2,10;3,20;1,70;3,30;1,70;3,20;1,50;NA;NA;1,10;1,20;NA;NA;1,20;1,15;NA;NA;1,25;1,05;NA;NA;1,30;0,75;NA;NA;1,35;0,80;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;NA
EWS-EM-Nv241;5;308_1_241;57,00;NA;NA;0,70;1,60;1,30;1,20;7,60;8,50;8,50;1,60;5,50;2,00;1,30;2,40;4,70;6,30;4,00;4,00;1,50;3,70;3,00;3,90;1,05;3,70;1,20;3,50;2,00;3,50;2,00;3,40;1,70;3,40;1,70;NA;NA;1,05;1,25;NA;NA;1,15;1,35;NA;NA;1,20;1,15;NA;NA;1,15;1,05;NA;NA;1,25;1,10;NA;NA;1,35;1,05;NA;NA;1,30;0,65;9;s14,15;s16,17;s18,19
EWS-EM-Nv245;5;308_1_245;NA;NA;NA;0,90;1,80;1,50;1,30;NA;NA;NA;NA;4,90;2,20;1,60;2,00;3,90;5,30;3,50;3,80;1,50;3,60;2,70;3,30;1,05;3,40;1,30;3,30;2,00;3,20;2,20;3,20;1,90;3,10;1,70;NA;NA;0,70;1,25;NA;NA;1,05;1,10;NA;NA;1,05;1,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;NA
EWS-EM-Nv242;5;308_1_242;35,00;NA;NA;0,70;1,90;1,40;1,30;7,50;7,60;7,60;1,20;5,40;2,30;1,70;2,50;4,30;5,70;4,30;4,10;1,60;4,10;2,90;4,20;1,05;4,00;1,30;3,90;2,50;3,60;2,30;3,80;1,80;3,80;2,00;NA;NA;1,35;1,50;NA;NA;1,15;1,35;NA;NA;1,20;1,10;NA;NA;1,20;1,15;NA;NA;1,35;1,05;NA;NA;NA;NA;NA;NA;NA;NA;9;s7,8;NA;NA
EWS-EM-Nv243;5;308_1_243;55,00;NA;NA;0,70;2,00;1,50;1,70;8,20;9,30;9,70;0,90;5,40;2,30;1,50;2,50;4,20;5,90;4,00;4,50;1,10;4,30;3,00;4,30;1,30;3,90;1,40;3,80;2,10;3,90;2,50;3,70;1,05;3,70;1,30;NA;NA;1,40;1,60;NA;NA;1,35;1,25;NA;NA;1,70;1,20;NA;NA;1,65;1,05;NA;NA;1,65;1,10;NA;NA;NA;NA;NA;NA;NA;NA;9;s7,8;s13,14;NA
EWS-EM-Nv113;5;301_1_113;62,00;NA;NA;1,10;2,00;1,30;1,70;6,30;8,10;8,50;2,30;5,60;2,00;1,50;2,20;4,60;6,30;4,20;4,00;1,50;3,90;2,80;3,80;1,20;3,70;1,30;3,70;2,30;3,70;2,00;3,60;2,20;3,60;2,00;NA;NA;1,25;1,35;NA;NA;1,35;1,05;NA;NA;1,25;1,05;NA;NA;1,25;0,85;NA;NA;1,10;0,90;NA;NA;NA;NA;NA;NA;NA;NA;9;s13,14;s18,19;NA
EWS-EM-Nv563;5;292_2_563;46,00;NA;NA;0,70;1,70;1,30;1,10;6,90;7,50;7,80;1,70;4,20;2,40;2,00;2,20;3,80;5,00;4,50;3,90;1,50;3,50;2,50;3,60;1,20;3,50;1,50;3,40;2,20;3,40;1,20;3,50;1,30;3,40;2,00;NA;NA;1,05;1,30;NA;NA;1,15;1,25;NA;NA;1,40;1,20;NA;NA;1,40;1,25;NA;NA;1,45;1,30;NA;NA;NA;NA;NA;NA;NA;NA;9;s6,7;s14,15;NA
EWS-EM-Nv561;5;292_2_561;68,00;NA;NA;1,20;2,00;1,70;1,80;9,40;10,20;9,50;2,40;5,50;2,50;1,80;2,30;4,60;6,20;4,30;4,90;1,30;4,00;3,40;4,10;1,10;3,90;1,30;4,00;2,60;4,10;2,20;3,90;2,20;4,00;2,30;NA;NA;1,05;1,60;NA;NA;1,15;1,45;NA;NA;1,20;1,30;NA;NA;1,35;1,20;NA;NA;1,35;1,10;NA;NA;1,45;1,15;NA;NA;1,35;1,10;9;s12,13;s17,18;s23,24
EWS-EM-Nv562;5;292_2_562;62,00;NA;NA;0,60;1,60;1,30;1,20;6,90;7,20;8,40;1,60;5,20;2,00;1,70;2,30;3,80;5,10;4,60;3,30;1,30;3,80;3,00;3,50;1,10;3,40;1,30;3,40;2,50;3,30;1,90;3,20;2,00;3,00;2,00;NA;NA;1,10;1,55;NA;NA;1,30;1,40;NA;NA;1,35;1,25;NA;NA;1,50;1,15;NA;NA;1,45;1,10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EWS-EM-Nv118;5;301_1_118;36,00;NA;NA;0,70;1,40;1,20;1,10;7,50;8,10;8,70;1,90;5,20;2,50;1,30;2,30;4,40;5,90;4,60;3,90;1,40;3,80;3,30;3,90;1,40;3,60;1,50;3,50;2,20;3,60;2,30;3,40;1,90;3,50;1,90;NA;NA;1,25;1,50;NA;NA;1,35;1,35;NA;NA;1,40;1,15;NA;NA;1,40;1,10;NA;NA;1,45;1,05;NA;NA;1,15;0,75;NA;NA;1,15;0,80;9;s10,11;s14,15;s18,19
EWS-EM-Nv114;5;301_1_114;65,00;NA;NA;0,70;1,60;1,50;1,10;7,50;8,30;9,90;1,60;5,20;2,20;1,50;2,50;4,20;5,90;4,50;4,20;1,40;4,30;3,00;3,90;1,10;3,70;1,40;3,80;2,00;3,50;2,00;3,50;2,00;3,40;1,80;NA;NA;1,25;1,50;NA;NA;1,20;1,45;NA;NA;1,35;1,40;NA;NA;1,40;1,25;NA;NA;1,30;1,25;NA;NA;1,35;0,85;NA;NA;1,40;1,10;9;s10,11;s13,14;s16,17
EWS-EM-Nv227;5;286_1_227;44,00;104,87;69,00;0,90;1,90;1,50;1,70;6,90;7,50;8,90;1,50;5,00;2,30;1,90;2,30;4,70;6,00;4,70;4,00;1,50;3,70;2,90;3,70;1,50;3,50;1,40;3,50;2,40;3,60;2,20;3,50;1,40;3,60;1,20;15,96;16,00;1,30;1,40;14,53;12,00;1,15;1,30;21,88;17,00;1,25;1,45;19,60;21,00;1,30;1,40;20,61;20,00;1,35;1,10;23,32;22,00;1,55;1,05;23,25;33,00;1,65;1,10;10;s7,8;s12,13;s17,18
1410_CO1;6;1410;52,00;31,86;26,00;0,60;1,20;1,20;0,80;3,60;4,10;4,30;1,90;2,90;1,50;0,50;1,40;2,70;3,40;2,70;2,10;1,05;2,70;1,70;2,40;0,70;2,40;1,05;2,20;1,90;2,20;1,05;2,30;1,20;2,30;1,30;13,40;10,00;0,80;0,90;10,38;9,00;0,75;0,70;10,78;8,00;0,90;0,65;9,39;11,00;0,85;0,65;11,12;15,00;0,60;0,75;13,51;12,00;1,05;0,65;11,55;13,00;0,90;0,75;8;s9,10;s14,15;s18,19
Nv513;6;265_2_513;53,00;50,87;34,00;0,70;1,10;1,50;0,90;5,50;5,70;5,90;1,70;3,40;1,30;0,70;1,50;2,50;3,60;3,20;2,50;0,90;2,60;2,40;2,60;0,90;2,50;1,50;2,40;0,70;2,20;1,05;2,30;1,05;2,20;1,20;22,91;18,00;0,70;1,05;15,40;12,00;0,80;0,90;14,30;13,00;1,05;0,75;18,54;13,00;0,90;0,85;22,32;16,00;1,10;0,80;25,06;21,00;1,20;0,85;26,97;22,00;1,25;0,90;7;s9,10;s14,15;s17,18
Nm_260_1633_COI;7;193_9_260;38,00;36,11;29,00;0,60;1,10;1,30;1,10;3,50;4,20;4,50;1,20;3,10;1,40;1,10;1,50;2,40;3,30;2,80;2,30;0,90;2,50;2,00;2,70;0,90;2,50;0,90;2,40;1,90;2,40;1,50;2,20;1,20;2,20;1,70;NA;NA;0,80;0,90;NA;NA;0,75;0,60;NA;NA;0,85;0,60;NA;NA;0,90;0,65;NA;NA;0,90;0,80;NA;NA;0,90;0,90;NA;NA;0,75;0,80;7;s9,10;s13,14;s17,18
Nv_315_1633_COI;7;197_5_315;41,00;44,56;30,00;0,50;1,10;1,30;1,10;4,70;5,30;6,50;1,30;4,60;2,00;0,50;1,70;3,20;5,00;3,60;3,20;1,10;3,10;2,10;3,20;1,10;3,00;1,20;3,10;1,80;3,00;1,90;3,00;1,70;3,10;1,60;NA;NA;0,65;1,15;NA;NA;0,85;0,80;NA;NA;0,85;0,80;NA;NA;0,90;0,75;NA;NA;1,10;0,80;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA
Nv_399_1633_COI;7;199_4_399;40,00;40,71;30,00;0,80;1,40;1,40;1,10;4,40;5,10;6,80;1,20;4,00;1,70;1,10;1,60;3,70;3,90;3,80;3,00;1,10;3,00;2,50;3,10;1,05;2,90;1,10;3,00;2,00;3,00;1,70;2,80;1,80;2,70;1,60;NA;NA;1,05;1,05;NA;NA;0,85;0,90;NA;NA;1,05;0,75;NA;NA;0,90;0,75;NA;NA;1,10;0,85;NA;NA;1,10;1,05;NA;NA;1,15;0,75;7;s8,9;s14,15;s19,20
1412_CO1;7;1412;47,00;32,09;27,00;0,80;1,20;1,40;1,10;3,10;3,60;6,20;0,70;2,80;1,50;0,60;1,70;2,50;3,30;3,00;2,50;1,05;2,20;2,00;2,50;1,10;2,30;1,05;2,20;1,40;2,40;1,50;2,50;1,50;2,40;1,40;NA;NA;0,85;0,90;NA;NA;0,85;0,85;NA;NA;0,85;0,85;NA;NA;1,10;0,75;NA;NA;0,90;0,75;NA;NA;0,90;0,75;NA;NA;0,85;0,75;7;s9,10;s14,15;s19,20
JCR15005_1411_COI;7;1411;58,00;NA;NA;0,40;0,90;1,20;0,70;3,10;3,50;5,10;0,70;3,10;1,60;0,80;1,40;2,30;3,60;2,60;2,50;1,10;2,00;1,70;2,10;1,10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nm_261_1633_COI;7;193_9_261;41,00;35,16;26,00;0,70;1,20;1,30;1,10;5,50;5,80;4,10;1,50;2,90;1,70;0,70;1,40;2,30;3,30;2,70;2,50;1,20;2,60;2,10;2,50;1,10;2,50;1,05;2,50;1,50;2,40;1,70;2,50;1,50;2,50;1,40;NA;NA;0,85;0,90;NA;NA;0,70;0,85;NA;NA;0,80;0,75;NA;NA;0,85;0,85;NA;NA;1,10;0,65;NA;NA;1,05;0,80;NA;NA;0,90;0,75;7;s9,10;s13,14;s17,18
Nm_395_1633_COI;7;1994_4_395;27,00;41,69;30,00;0,50;1,20;1,40;1,50;4,70;5,20;4,10;1,10;3,60;2,20;0,70;1,70;2,90;3,80;2,90;2,20;1,05;2,50;2,10;2,70;0,90;2,50;1,05;2,40;2,00;2,60;1,50;2,60;1,10;2,60;1,30;NA;NA;0,85;0,75;NA;NA;0,75;0,60;NA;NA;1,05;0,70;NA;NA;1,05;0,70;NA;NA;1,10;0,65;NA;NA;1,05;0,75;NA;NA;0,75;1,05;8;s11,12;s15,16;s19,20
Nm_396_1633_COI;7;199_4_396;52,00;49,54;32,00;0,55;1,25;1,40;1,10;5,10;5,90;6,60;1,95;3,05;1,25;0,65;1,40;2,80;2,95;2,30;3,35;0,85;3,00;2,35;3,05;1,05;2,95;1,05;3,15;1,70;3,10;1,55;3,05;1,45;2,95;1,30;NA;NA;0,90;1,05;NA;NA;0,85;0,65;NA;NA;0,90;0,70;NA;NA;1,20;1,05;NA;NA;1,25;0,90;NA;NA;1,15;0,85;NA;NA;1,10;1,10;8;s9,10;s13,14;s18,19
Nv_391_1736_COI;7;199_4_391;21,00;NA;NA;0,50;1,10;1,20;0,90;3,50;3,70;4,20;0,90;2,50;1,40;0,90;1,20;2,20;2,70;2,50;2,00;1,05;2,20;1,70;2,30;0,70;2,20;0,90;2,10;1,40;2,20;1,40;2,10;1,20;2,40;1,30;NA;NA;0,75;0,80;NA;NA;0,75;0,70;NA;NA;0,70;0,75;NA;NA;0,65;0,85;NA;NA;0,75;0,75;NA;NA;0,90;0,80;NA;NA;NA;NA;8;s5,6;s10,11;s15,16
Nm_312_1633_COI;7;197_5_312;36,00;NA;NA;0,70;1,20;1,50;1,10;4,60;4,90;5,60;1,40;3,80;1,50;0,90;1,30;3,40;4,20;3,00;2,40;0,90;2,70;1,80;2,80;0,80;2,60;0,90;2,50;1,40;2,70;1,30;2,90;1,40;2,70;1,50;NA;NA;1,05;1,05;NA;NA;1,05;1,05;NA;NA;0,85;0,90;NA;NA;1,05;0,85;NA;NA;1,10;0,85;NA;NA;1,05;1,05;NA;NA;NA;NA;7;s11,12;s15,16;NA
Nv_309_1736_COI;7;197_5_309;34,00;NA;NA;0,80;1,20;1,30;1,10;3,50;3,80;4,70;1,10;2,80;1,40;1,10;1,30;2,70;3,20;2,80;2,60;1,05;2,50;1,70;2,40;1,10;2,50;0,80;2,50;1,50;2,40;1,40;2,40;1,30;2,40;1,30;NA;NA;0,70;0,90;NA;NA;0,80;0,85;NA;NA;0,75;0,75;NA;NA;0,80;0,75;NA;NA;0,80;0,80;NA;NA;0,85;0,60;NA;NA;0,70;0,65;7;s12,13;s16,17;NA
Nv_259_1633_COI;7;193_9_259;31,00;NA;NA;0,60;1,10;1,30;1,10;4,50;4,80;5,70;1,50;3,30;1,20;1,10;1,30;2,50;3,70;2,50;2,70;1,10;2,40;2,00;2,60;1,10;2,40;0,80;2,50;1,70;2,50;1,60;2,50;1,30;2,50;1,60;NA;NA;0,80;0,75;NA;NA;0,75;0,80;NA;NA;0,70;0,70;NA;NA;0,75;0,75;NA;NA;0,75;0,65;NA;NA;0,75;0,75;NA;NA;NA;NA;7;s8,9;s12,13;s16,17
Nm_394_1633_COI;7;199_4_394;33,00;NA;NA;0,80;1,10;1,20;1,10;2,50;3,20;5,00;0,90;2,90;1,70;0,80;1,40;2,60;3,50;2,60;2,20;0,90;2,70;2,10;2,60;1,20;2,40;0,80;2,50;1,90;2,30;1,30;2,30;1,30;2,20;1,80;NA;NA;0,70;0,70;NA;NA;0,65;0,80;NA;NA;0,80;0,65;NA;NA;0,75;0,70;NA;NA;1,10;0,70;NA;NA;0,90;0,75;NA;NA;0,85;0,70;7;s9,10;s14,15;NA
Nv_311_1633_COI;7;197_5_311;24,00;NA;NA;0,70;0,80;1,10;0,90;2,90;3,40;3,40;0,80;2,30;1,30;0,70;1,10;1,80;2,50;2,20;1,80;1,10;2,00;1,50;1,80;0,70;1,90;0,60;1,90;1,20;1,80;1,10;1,70;1,10;1,60;1,30;NA;NA;0,60;0,75;NA;NA;0,55;0,60;NA;NA;0,60;0,65;NA;NA;0,60;0,60;NA;NA;0,70;0,50;NA;NA;0,60;0,75;NA;NA;NA;NA;7;s9,10;s14,15;NA
Nm_310_1633_COI;7;197_5_310;26,00;NA;NA;0,70;1,90;1,40;1,10;3,10;4,30;5,20;1,10;2,70;1,10;0,80;1,20;2,30;3,20;2,70;2,10;0,90;2,30;1,70;2,20;0,80;2,20;0,70;2,10;1,30;2,30;1,40;2,20;1,20;2,10;1,50;NA;NA;0,65;0,80;NA;NA;0,75;0,75;NA;NA;0,65;0,65;NA;NA;0,75;0,75;NA;NA;0,85;0,65;NA;NA;0,85;0,75;NA;NA;NA;NA;7;s9,10;s15,16;NA
Nv_263_1633_COI;7;193_9_263;28,00;NA;NA;0,70;1,30;1,30;1,10;3,90;4,20;4,50;1,10;3,20;1,40;1,10;1,30;2,60;3,30;2,60;2,50;0,60;2,40;1,80;2,50;1,10;2,20;1,05;2,10;1,50;1,90;1,40;2,20;1,40;2,00;1,60;NA;NA;0,75;0,65;NA;NA;0,70;0,80;NA;NA;0,70;0,70;NA;NA;0,75;0,65;NA;NA;0,80;0,60;NA;NA;0,75;0,80;NA;NA;0,60;0,65;7;s13,14;NA;NA
Nv_258_1633_COI;7;193_9_258;36,00;NA;NA;0,90;1,30;1,60;1,10;4,50;4,40;6,50;1,70;3,70;1,50;0,90;1,80;2,80;3,80;3,20;2,70;1,20;2,90;2,20;2,80;1,10;2,80;1,30;2,80;1,90;2,90;1,80;2,30;1,60;2,90;1,50;NA;NA;1,05;1,05;NA;NA;0,85;0,90;NA;NA;1,05;0,85;NA;NA;1,05;1,15;NA;NA;1,15;1,10;NA;NA;1,10;1,05;NA;NA;0,90;0,75;7;s11,12;s16,17;NA
Nv_397_1736_COI;7;199_4_397;34,00;NA;NA;0,50;1,20;1,30;1,10;3,40;3,60;4,60;0,90;3,10;1,30;0,70;1,20;2,60;3,20;2,60;2,30;1,10;2,40;2,00;2,30;0,90;2,30;0,80;2,30;1,30;2,30;1,20;2,20;1,40;2,20;1,10;NA;NA;0,80;0,80;NA;NA;0,75;0,80;NA;NA;0,65;0,75;NA;NA;0,75;0,80;NA;NA;0,80;0,85;NA;NA;0,85;1,05;NA;NA;NA;NA;7;s9,10;s14,15;NA
