Ns;Groupes;N;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;W1Pi1;L1Pi1;W1Pi2;L1Pi2;W1Pi3;L1Pi3;W1Pi4;L1Pi4;W1Pi5;L1Pi5
RSMNA19831Notocrinus;3;19831;0,60;1,60;0,90;1,10;4,50;4,70;5,50;1,90;3,10;1,20;1,20;1,50;3,20;3,60;3,30;2,40;0,70;2,30;2,00;2,70;0,80;2,70;1,05;2,20;1,70;2,70;1,60;2,60;1,90;2,50;1,05;1,35;0,75;0,75;0,55;0,70;0,70;0,80;0,60;1,10;0,65
RSCHMNA184710Notocrinus;3;184710;0,70;1,70;1,10;1,10;4,50;4,70;5,80;1,60;3,10;1,20;0,70;1,60;3,10;3,70;3,10;2,90;0,60;2,60;1,90;2,90;0,80;2,70;1,05;2,60;1,40;2,60;0,90;2,50;0,80;2,60;1,50;0,85;1,10;0,90;0,85;1,20;0,85;1,15;0,80;1,30;0,80
RSCHMNA18681Notocrinus;3;18681;0,60;1,55;0,75;0,85;8,16;8,64;8,16;1,30;4,30;2,10;1,50;2,00;4,90;4,20;4,80;3,50;1,10;3,60;2,60;3,80;1,05;3,70;1,10;3,40;2,10;3,50;1,80;3,20;2,00;3,40;1,70;1,10;1,10;1,30;1,05;1,25;1,05;1,25;1,10;1,30;1,10
RSCHMNA18586Notocrinus;3;18586;0,40;1,70;0,90;1,10;3,90;4,30;4,40;1,10;2,90;1,20;1,10;1,50;2,60;3,70;2,60;1,90;1,05;2,20;1,60;2,40;0,90;2,00;0,90;2,20;1,50;2,30;1,20;1,90;1,30;2,10;1,30;0,75;0,65;1,05;0,70;0,75;0,60;0,85;0,60;1,05;0,65
RSCHMNA18477Notocrinus;3;18477;0,50;1,30;0,90;1,10;4,20;4,50;5,00;0,80;2,90;1,40;0,90;1,50;2,80;3,90;2,60;2,50;1,10;2,30;1,90;2,40;1,05;2,40;1,20;2,60;1,60;2,40;1,90;2,20;1,50;2,30;1,60;0,70;1,05;0,85;0,85;0,90;0,70;0,90;0,85;1,10;0,60
RSCHMNA18473Notocrinus;3;18473;0,70;1,25;1,10;1,25;4,20;5,60;5,90;1,70;2,80;1,60;0,70;1,90;2,80;4,70;3,10;2,80;1,10;2,70;2,20;3,10;0,70;2,60;0,90;2,70;1,90;2,80;1,60;2,90;0,70;2,80;1,70;0,70;0,75;0,75;0,80;0,90;0,60;1,05;0,55;1,10;0,75
RSCHMNA18587Notocrinus;3;18587;0,45;1,35;0,85;0,80;3,60;3,80;4,10;1,10;2,10;1,30;0,60;1,50;2,30;2,55;1,95;1,60;0,60;1,80;1,40;1,90;0,70;1,70;0,80;1,60;1,10;1,60;1,05;1,40;0,90;1,50;0,90;0,30;0,55;0,60;0,45;0,65;0,60;0,75;0,65;0,85;0,75
RSCHMNA184711Notocrinus;3;184711;0,55;1,40;0,75;0,85;5,60;6,70;6,70;1,70;3,20;1,50;0,90;1,60;3,80;5,10;3,10;3,60;1,05;3,20;2,40;3,40;0,90;3,10;1,10;3,10;1,80;3,10;1,60;3,00;1,60;2,90;1,40;0,90;0,80;1,05;0,65;0,85;0,85;1,25;0,75;0,45;0,80
RSCAMNA19181Notocrinus;3;19181;0,70;1,55;0,90;0,85;7,10;7,90;7,50;1,60;3,90;1,40;0,80;1,30;3,20;4,90;3,80;3,10;0,80;2,60;1,70;2,50;0,60;2,70;1,05;2,70;1,50;2,60;1,40;2,60;1,20;2,70;1,30;0,80;0,75;1,10;0,30;1,05;0,80;0,85;0,60;1,10;0,70
SSh-EM-Nv452;4;222_6_452;0,70;1,40;1,70;1,20;5,70;6,20;6,30;1,50;4,00;1,50;1,30;1,40;3,20;4,30;3,50;2,90;0,80;2,70;2,00;2,60;0,80;2,40;1,10;2,50;1,70;2,40;1,50;2,50;1,70;2,50;1,20;0,60;0,85;0,80;0,70;1,10;0,65;1,10;0,65;1,10;0,50
Nv_377_1865_COI;4;199_4_377;0,60;1,40;0,80;0,90;8,10;10,10;6,90;1,50;4,60;2,10;1,50;2,00;4,30;5,00;3,90;3,20;1,10;3,00;2,10;3,10;1,10;2,90;0,90;3,00;1,90;3,20;1,70;3,00;1,40;2,80;1,50;0,70;1,10;1,30;1,05;1,10;0,90;1,15;0,80;1,45;0,85
Nv_143_1865_COI;4;164_4_143;0,50;0,90;0,80;1,10;4,70;4,90;6,40;1,20;4,20;1,90;1,50;1,50;3,00;4,30;3,70;3,10;1,20;2,90;2,20;2,80;1,30;2,90;1,05;2,60;1,80;2,40;1,40;2,50;1,05;2,70;1,50;0,80;1,10;1,10;1,05;1,15;1,05;1,20;0,80;1,25;0,75
Nv_380_1865_COI;4;199_4_380;0,60;1,80;1,40;1,30;7,10;7,50;6,60;1,10;3,60;1,50;1,20;1,70;3,70;4,70;3,20;2,80;1,20;2,90;2,40;2,80;1,10;2,70;1,05;2,70;1,60;2,60;1,40;2,60;1,40;2,50;1,30;1,05;1,05;1,05;0,85;1,10;0,80;1,15;0,90;1,25;0,85
EWS-EM-Nv116;5;301_1_116;0,70;1,30;1,50;1,55;5,60;8,30;8,50;1,95;4,70;1,90;1,20;2,00;4,00;4,90;2,60;3,20;1,30;3,80;3,20;3,70;0,90;3,80;1,20;3,90;2,00;3,90;1,90;3,80;2,10;3,70;1,90;0,85;1,55;1,05;1,25;1,20;1,10;1,20;1,10;1,30;0,90
EWS-EM-Nv381;5;260_6_38_1;0,70;1,40;1,70;1,50;6,30;6,80;8,40;1,20;5,10;2,10;1,70;2,20;4,70;5,40;3,60;4,20;1,50;3,70;2,20;3,90;1,05;3,60;1,50;4,10;1,20;3,70;2,40;3,70;1,70;3,60;2,10;1,35;1,40;1,20;1,45;1,35;1,35;1,25;1,30;1,25;1,05
EWS-EM-Nv31;5;291_1_31;0,80;1,30;1,10;1,15;7,10;8,30;8,40;1,45;3,90;2,10;2,00;2,30;3,40;4,70;4,10;2,60;1,50;2,80;2,40;2,90;1,10;3,00;1,20;3,00;2,10;2,70;1,90;2,80;1,60;2,90;1,10;0,80;0,75;1,05;0,90;1,05;1,05;1,05;0,65;1,10;0,60
EWS-EM-Nv32;5;291_1_32;0,70;1,30;1,30;1,10;5,20;5,50;6,70;1,20;3,50;1,90;1,30;1,70;2,50;4,10;3,40;2,40;1,20;2,50;2,00;2,40;0,80;2,40;1,20;2,20;1,60;2,30;1,50;2,30;0,90;2,40;0,80;0,75;0,75;0,90;0,65;0,85;0,75;0,85;0,75;0,80;0,70
EWS-EM-Nv33;5;291_1_33;0,70;1,60;1,40;1,10;7,20;8,50;8,30;1,90;5,40;2,20;1,70;2,10;4,60;6,00;4,30;4,10;1,30;4,00;3,00;3,80;1,05;3,60;1,30;3,60;2,00;3,70;1,90;3,50;1,70;3,70;1,50;1,30;1,25;1,30;1,15;1,25;1,05;1,40;1,05;1,40;1,15
EWS-EM-Nv35;5;291_1_35;0,90;1,80;1,60;1,50;4,20;5,10;6,40;1,10;4,10;1,60;1,10;1,80;3,60;4,80;3,70;3,30;1,10;3,10;2,50;3,10;1,10;3,00;1,30;3,00;1,90;3,00;1,60;2,90;1,70;2,70;1,60;1,25;1,25;1,20;1,10;1,30;1,15;1,15;0,80;1,15;0,90
EWS-EM-Nv36;5;291_1_36;0,90;1,70;1,50;1,50;5,20;6,10;6,00;1,40;4,40;1,90;1,10;2,20;4,20;4,90;4,50;3,10;1,20;3,30;2,80;3,40;1,10;3,10;1,30;3,10;2,60;3,30;1,50;3,20;1,80;3,20;1,60;1,45;1,15;1,15;1,15;1,15;1,10;1,20;1,15;1,25;0,85
EWS-EM-Nv37;5;291_1_37;0,70;1,10;0,90;0,70;6,30;7,20;8,20;1,10;4,60;2,20;1,40;2,00;4,20;5,30;3,50;3,70;1,60;3,80;3,00;3,90;1,20;3,40;1,30;3,60;2,30;3,60;2,60;3,60;1,90;3,40;2,00;1,25;1,25;1,05;1,20;1,30;1,20;1,50;1,10;1,10;1,20
EWS-EM-Nv39;5;291_1_39;0,50;0,90;0,80;0,60;7,00;7,90;7,90;2,00;4,00;2,00;1,20;1,90;3,70;5,00;3,90;3,60;1,40;3,50;2,80;3,50;1,40;3,40;1,30;3,20;2,10;3,20;1,70;3,30;1,70;3,20;1,50;1,10;1,20;1,20;1,15;1,25;1,05;1,30;0,75;1,35;0,80
EWS-EM-Nv241;5;308_1_241;0,70;1,60;1,30;1,20;7,60;8,50;8,50;1,60;5,50;2,00;1,30;2,40;4,70;6,30;4,00;4,00;1,50;3,70;3,00;3,90;1,05;3,70;1,20;3,50;2,00;3,50;2,00;3,40;1,70;3,40;1,70;1,05;1,25;1,15;1,35;1,20;1,15;1,15;1,05;1,25;1,10
EWS-EM-Nv242;5;308_1_242;0,70;1,90;1,40;1,30;7,50;7,60;7,60;1,20;5,40;2,30;1,70;2,50;4,30;5,70;4,30;4,10;1,60;4,10;2,90;4,20;1,05;4,00;1,30;3,90;2,50;3,60;2,30;3,80;1,80;3,80;2,00;1,35;1,50;1,15;1,35;1,20;1,10;1,20;1,15;1,35;1,05
EWS-EM-Nv243;5;308_1_243;0,70;2,00;1,50;1,70;8,20;9,30;9,70;0,90;5,40;2,30;1,50;2,50;4,20;5,90;4,00;4,50;1,10;4,30;3,00;4,30;1,30;3,90;1,40;3,80;2,10;3,90;2,50;3,70;1,05;3,70;1,30;1,40;1,60;1,35;1,25;1,20;1,20;1,65;1,05;1,65;1,10
EWS-EM-Nv113;5;301_1_113;1,10;2,00;1,30;1,70;6,30;8,10;8,50;2,30;5,60;2,00;1,50;2,20;4,60;6,30;4,20;4,00;1,50;3,90;2,80;3,80;1,20;3,70;1,30;3,70;2,30;3,70;2,00;3,60;2,20;3,60;2,00;1,25;1,35;1,35;1,05;1,25;1,05;1,25;0,85;1,10;0,90
EWS-EM-Nv563;5;292_2_563;0,70;1,70;1,30;1,10;6,90;7,50;7,80;1,70;4,20;2,40;2,00;2,20;3,80;5,00;4,50;3,90;1,50;3,50;2,50;3,60;1,20;3,50;1,50;3,40;2,20;3,40;1,20;3,50;1,30;3,40;2,00;1,05;1,30;1,15;1,25;1,40;1,20;1,40;1,25;1,45;1,30
EWS-EM-Nv561;5;292_2_561;1,20;2,00;1,70;1,80;9,40;10,20;9,50;2,40;5,50;2,50;1,80;2,30;4,60;6,20;4,30;4,90;1,30;4,00;3,40;4,10;1,10;3,90;1,30;4,00;2,60;4,10;2,20;3,90;2,20;4,00;2,30;1,05;1,60;1,15;1,45;1,20;1,30;1,35;1,20;1,35;1,10
EWS-EM-Nv562;5;292_2_562;0,60;1,60;1,30;1,20;6,90;7,20;8,40;1,60;5,20;2,00;1,70;2,30;3,80;5,10;4,60;3,30;1,30;3,80;3,00;3,50;1,10;3,40;1,30;3,40;2,50;3,30;1,90;3,20;2,00;3,00;2,00;1,10;1,55;1,30;1,40;1,35;1,25;1,50;1,15;1,45;1,10
EWS-EM-Nv118;5;301_1_118;0,70;1,40;1,20;1,10;7,50;8,10;8,70;1,90;5,20;2,50;1,30;2,30;4,40;5,90;4,60;3,90;1,40;3,80;3,30;3,90;1,40;3,60;1,50;3,50;2,20;3,60;2,30;3,40;1,90;3,50;1,90;1,25;1,50;1,35;1,35;1,40;1,15;1,40;1,10;1,45;1,05
EWS-EM-Nv114;5;301_1_114;0,70;1,60;1,50;1,10;7,50;8,30;9,90;1,60;5,20;2,20;1,50;2,50;4,20;5,90;4,50;4,20;1,40;4,30;3,00;3,90;1,10;3,70;1,40;3,80;2,00;3,50;2,00;3,50;2,00;3,40;1,80;1,25;1,50;1,20;1,45;1,35;1,40;1,40;1,25;1,30;1,25
EWS-EM-Nv227;5;286_1_227;0,90;1,90;1,50;1,70;6,90;7,50;8,90;1,50;5,00;2,30;1,90;2,30;4,70;6,00;4,70;4,00;1,50;3,70;2,90;3,70;1,50;3,50;1,40;3,50;2,40;3,60;2,20;3,50;1,40;3,60;1,20;1,30;1,40;1,15;1,30;1,25;1,45;1,30;1,40;1,35;1,10
1410_CO1;6;1410;0,60;1,20;1,20;0,80;3,60;4,10;4,30;1,90;2,90;1,50;0,50;1,40;2,70;3,40;2,70;2,10;1,05;2,70;1,70;2,40;0,70;2,40;1,05;2,20;1,90;2,20;1,05;2,30;1,20;2,30;1,30;0,80;0,90;0,75;0,70;0,90;0,65;0,85;0,65;0,60;0,75
Nv513;6;265_2_513;0,70;1,10;1,50;0,90;5,50;5,70;5,90;1,70;3,40;1,30;0,70;1,50;2,50;3,60;3,20;2,50;0,90;2,60;2,40;2,60;0,90;2,50;1,50;2,40;0,70;2,20;1,05;2,30;1,05;2,20;1,20;0,70;1,05;0,80;0,90;1,05;0,75;0,90;0,85;1,10;0,80
Nm_260_1633_COI;7;193_9_260;0,60;1,10;1,30;1,10;3,50;4,20;4,50;1,20;3,10;1,40;1,10;1,50;2,40;3,30;2,80;2,30;0,90;2,50;2,00;2,70;0,90;2,50;0,90;2,40;1,90;2,40;1,50;2,20;1,20;2,20;1,70;0,80;0,90;0,75;0,60;0,85;0,60;0,90;0,65;0,90;0,80
Nv_315_1633_COI;7;197_5_315;0,50;1,10;1,30;1,10;4,70;5,30;6,50;1,30;4,60;2,00;0,50;1,70;3,20;5,00;3,60;3,20;1,10;3,10;2,10;3,20;1,10;3,00;1,20;3,10;1,80;3,00;1,90;3,00;1,70;3,10;1,60;0,65;1,15;0,85;0,80;0,85;0,80;0,90;0,75;1,10;0,80
Nv_399_1633_COI;7;199_4_399;0,80;1,40;1,40;1,10;4,40;5,10;6,80;1,20;4,00;1,70;1,10;1,60;3,70;3,90;3,80;3,00;1,10;3,00;2,50;3,10;1,05;2,90;1,10;3,00;2,00;3,00;1,70;2,80;1,80;2,70;1,60;1,05;1,05;0,85;0,90;1,05;0,75;0,90;0,75;1,10;0,85
1412_CO1;7;1412;0,80;1,20;1,40;1,10;3,10;3,60;6,20;0,70;2,80;1,50;0,60;1,70;2,50;3,30;3,00;2,50;1,05;2,20;2,00;2,50;1,10;2,30;1,05;2,20;1,40;2,40;1,50;2,50;1,50;2,40;1,40;0,85;0,90;0,85;0,85;0,85;0,85;1,10;0,75;0,90;0,75
Nm_261_1633_COI;7;193_9_261;0,70;1,20;1,30;1,10;5,50;5,80;4,10;1,50;2,90;1,70;0,70;1,40;2,30;3,30;2,70;2,50;1,20;2,60;2,10;2,50;1,10;2,50;1,05;2,50;1,50;2,40;1,70;2,50;1,50;2,50;1,40;0,85;0,90;0,70;0,85;0,80;0,75;0,85;0,85;1,10;0,65
Nm_395_1633_COI;7;1994_4_395;0,50;1,20;1,40;1,50;4,70;5,20;4,10;1,10;3,60;2,20;0,70;1,70;2,90;3,80;2,90;2,20;1,05;2,50;2,10;2,70;0,90;2,50;1,05;2,40;2,00;2,60;1,50;2,60;1,10;2,60;1,30;0,85;0,75;0,75;0,60;1,05;0,70;1,05;0,70;1,10;0,65
Nm_396_1633_COI;7;199_4_396;0,55;1,25;1,40;1,10;5,10;5,90;6,60;1,95;3,05;1,25;0,65;1,40;2,80;2,95;2,30;3,35;0,85;3,00;2,35;3,05;1,05;2,95;1,05;3,15;1,70;3,10;1,55;3,05;1,45;2,95;1,30;0,90;1,05;0,85;0,65;0,90;0,70;1,20;1,05;1,25;0,90
Nv_391_1736_COI;7;199_4_391;0,50;1,10;1,20;0,90;3,50;3,70;4,20;0,90;2,50;1,40;0,90;1,20;2,20;2,70;2,50;2,00;1,05;2,20;1,70;2,30;0,70;2,20;0,90;2,10;1,40;2,20;1,40;2,10;1,20;2,40;1,30;0,75;0,80;0,75;0,70;0,70;0,75;0,65;0,85;0,75;0,75
Nm_312_1633_COI;7;197_5_312;0,70;1,20;1,50;1,10;4,60;4,90;5,60;1,40;3,80;1,50;0,90;1,30;3,40;4,20;3,00;2,40;0,90;2,70;1,80;2,80;0,80;2,60;0,90;2,50;1,40;2,70;1,30;2,90;1,40;2,70;1,50;1,05;1,05;1,05;1,05;0,85;0,90;1,05;0,85;1,10;0,85
Nv_309_1736_COI;7;197_5_309;0,80;1,20;1,30;1,10;3,50;3,80;4,70;1,10;2,80;1,40;1,10;1,30;2,70;3,20;2,80;2,60;1,05;2,50;1,70;2,40;1,10;2,50;0,80;2,50;1,50;2,40;1,40;2,40;1,30;2,40;1,30;0,70;0,90;0,80;0,85;0,75;0,75;0,80;0,75;0,80;0,80
Nv_259_1633_COI;7;193_9_259;0,60;1,10;1,30;1,10;4,50;4,80;5,70;1,50;3,30;1,20;1,10;1,30;2,50;3,70;2,50;2,70;1,10;2,40;2,00;2,60;1,10;2,40;0,80;2,50;1,70;2,50;1,60;2,50;1,30;2,50;1,60;0,80;0,75;0,75;0,80;0,70;0,70;0,75;0,75;0,75;0,65
Nm_394_1633_COI;7;199_4_394;0,80;1,10;1,20;1,10;2,50;3,20;5,00;0,90;2,90;1,70;0,80;1,40;2,60;3,50;2,60;2,20;0,90;2,70;2,10;2,60;1,20;2,40;0,80;2,50;1,90;2,30;1,30;2,30;1,30;2,20;1,80;0,70;0,70;0,65;0,80;0,80;0,65;0,75;0,70;1,10;0,70
Nv_311_1633_COI;7;197_5_311;0,70;0,80;1,10;0,90;2,90;3,40;3,40;0,80;2,30;1,30;0,70;1,10;1,80;2,50;2,20;1,80;1,10;2,00;1,50;1,80;0,70;1,90;0,60;1,90;1,20;1,80;1,10;1,70;1,10;1,60;1,30;0,60;0,75;0,55;0,60;0,60;0,65;0,60;0,60;0,70;0,50
Nm_310_1633_COI;7;197_5_310;0,70;1,90;1,40;1,10;3,10;4,30;5,20;1,10;2,70;1,10;0,80;1,20;2,30;3,20;2,70;2,10;0,90;2,30;1,70;2,20;0,80;2,20;0,70;2,10;1,30;2,30;1,40;2,20;1,20;2,10;1,50;0,65;0,80;0,75;0,75;0,65;0,65;0,75;0,75;0,85;0,65
Nv_263_1633_COI;7;193_9_263;0,70;1,30;1,30;1,10;3,90;4,20;4,50;1,10;3,20;1,40;1,10;1,30;2,60;3,30;2,60;2,50;0,60;2,40;1,80;2,50;1,10;2,20;1,05;2,10;1,50;1,90;1,40;2,20;1,40;2,00;1,60;0,75;0,65;0,70;0,80;0,70;0,70;0,75;0,65;0,80;0,60
Nv_258_1633_COI;7;193_9_258;0,90;1,30;1,60;1,10;4,50;4,40;6,50;1,70;3,70;1,50;0,90;1,80;2,80;3,80;3,20;2,70;1,20;2,90;2,20;2,80;1,10;2,80;1,30;2,80;1,90;2,90;1,80;2,30;1,60;2,90;1,50;1,05;1,05;0,85;0,90;1,05;0,85;1,05;1,15;1,15;1,10
Nv_397_1736_COI;7;199_4_397;0,50;1,20;1,30;1,10;3,40;3,60;4,60;0,90;3,10;1,30;0,70;1,20;2,60;3,20;2,60;2,30;1,10;2,40;2,00;2,30;0,90;2,30;0,80;2,30;1,30;2,30;1,20;2,20;1,40;2,20;1,10;0,80;0,80;0,75;0,80;0,65;0,75;0,75;0,80;0,80;0,85
